animal_id,fos_status,cell_type,image_number
D05,fos-,Gad2,9.333333333
D06,fos-,Gad2,4.666666667
D07,fos-,Gad2,3
D08,fos-,Gad2,4
D09,fos-,Gad2,12
D10,fos-,Gad2,2.75
D11,fos-,Gad2,6.75
D12,fos-,Gad2,4
D13,fos-,Gad2,11.25
D14,fos-,Gad2,9.25
D15,fos-,Gad2,10.66666667
D16,fos-,Gad2,6
D17,fos-,Gad2,9.25
D18,fos-,Gad2,13.5
D19,fos-,Gad2,3.25
D20,fos-,Gad2,3.75
D21,fos-,Gad2,6.25
D22,fos-,Gad2,10.5
d01,fos-,Gad2,33
d02,fos-,Gad2,32.66666667
d03,fos-,Gad2,17.33333333
d04,fos-,Gad2,30
D05,fos+,Gad2,6.4
D06,fos+,Gad2,13
D07,fos+,Gad2,10.75
D08,fos+,Gad2,9
D09,fos+,Gad2,5.333333333
D10,fos+,Gad2,8.5
D11,fos+,Gad2,3
D12,fos+,Gad2,6
D13,fos+,Gad2,3.5
D14,fos+,Gad2,2.5
D15,fos+,Gad2,2
D16,fos+,Gad2,9
D17,fos+,Gad2,3.25
D18,fos+,Gad2,2.25
D19,fos+,Gad2,11
D20,fos+,Gad2,14
D21,fos+,Gad2,8.25
D22,fos+,Gad2,1.5
D01,fos+,Gad2,1
D02,fos+,Gad2,1
D03,fos+,Gad2,1.5
D04,fos+,Gad2,12.2
D05,fos-,VGlut1,29.25
D06,fos-,VGlut1,21.75
D07,fos-,VGlut1,10.5
D08,fos-,VGlut1,10.5
D09,fos-,VGlut1,29.75
D10,fos-,VGlut1,9
D11,fos-,VGlut1,37.5
D12,fos-,VGlut1,15
D13,fos-,VGlut1,37.75
D14,fos-,VGlut1,40.5
D15,fos-,VGlut1,53
D16,fos-,VGlut1,29.25
D17,fos-,VGlut1,40.25
D18,fos-,VGlut1,32.75
D19,fos-,VGlut1,19.75
D20,fos-,VGlut1,6.5
D21,fos-,VGlut1,15
D22,fos-,VGlut1,35.25
d01,fos-,VGlut1,79.66666667
d02,fos-,VGlut1,103.6666667
d03,fos-,VGlut1,86.33333333
d04,fos-,VGlut1,74.6
D05,fos+,VGlut1,23.4
D06,fos+,VGlut1,25
D07,fos+,VGlut1,47.75
D08,fos+,VGlut1,60
D09,fos+,VGlut1,11
D10,fos+,VGlut1,22.25
D11,fos+,VGlut1,2.25
D12,fos+,VGlut1,31.5
D13,fos+,VGlut1,7.5
D14,fos+,VGlut1,7
D15,fos+,VGlut1,6
D16,fos+,VGlut1,12
D17,fos+,VGlut1,9.5
D18,fos+,VGlut1,9
D19,fos+,VGlut1,18
D20,fos+,VGlut1,28
D21,fos+,VGlut1,14.25
D22,fos+,VGlut1,3.75
D01,fos+,VGlut1,1
D02,fos+,VGlut1,6.5
D03,fos+,VGlut1,4
D04,fos+,VGlut1,10.4
