,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
1,D05_A01_G001_0001.xls,9.961176551503483,51.05102982645535,6.225735344689676,fos+,Gad2,D05,1
2,D05_A01_G001_0001.xls,1.882204164009095,5.646612492027285,11.29322498405457,fos-,VGlut1,D05,1
3,D05_A01_G001_0001.xls,6.639030513525606,2.6556122054102427,18.5892854378717,fos+,VGlut1,D05,1
4,D05_A01_G001_0001.xls,1.417032708944647,38.25988314150547,14.17032708944647,fos-,Gad2,D05,1
5,D05_A01_G001_0001.xls,2.554448066779858,0.0,16.603912434069077,fos-,VGlut1,D05,1
6,D05_A01_G001_0001.xls,2.6908846283215606,2.6908846283215606,5.381769256643121,fos-,VGlut1,D05,1
7,D05_A01_G001_0001.xls,3.131527200555357,0.0,6.263054401110714,fos-,VGlut1,D05,1
9,D05_A01_G001_0001.xls,0.9303554237097764,0.0,5.582132542258658,fos-,VGlut1,D05,1
10,D05_A01_G001_0001.xls,3.093485026882959,0.0,20.107652674739235,fos-,VGlut1,D05,1
11,D05_A01_G001_0001.xls,4.715513222554941,31.82971425224585,5.894391528193676,fos-,Gad2,D05,1
13,D05_A01_G001_0001.xls,3.8133879149305403,0.0,9.53346978732635,fos-,VGlut1,D05,1
14,D05_A01_G001_0001.xls,0.0,0.0,9.385904000860451,fos-,VGlut1,D05,1
15,D05_A01_G001_0001.xls,1.8972236082520426,0.0,20.86945969077247,fos-,VGlut1,D05,1
16,D05_A01_G001_0001.xls,1.4635803083416394,0.0,13.172222775074756,fos-,VGlut1,D05,1
17,D05_A01_G001_0001.xls,2.648220928606815,0.0,21.18576742885452,fos-,VGlut1,D05,1
18,D05_A01_G001_0001.xls,3.1402497965469265,39.77649742292773,12.560999186187706,fos-,Gad2,D05,1
19,D05_A01_G001_0001.xls,7.528328875488039,4.516997325292823,24.090652401561726,fos+,VGlut1,D05,1
20,D05_A01_G001_0001.xls,1.0755463662629252,0.0,18.28428822646973,fos-,VGlut1,D05,1
21,D05_A01_G001_0001.xls,4.530586046126808,0.9061172092253615,18.12234418450723,fos-,VGlut1,D05,1
22,D05_A01_G001_0001.xls,2.800261567401291,2.1001961755509684,7.70071931035355,fos-,VGlut1,D05,1
24,D05_A01_G001_0001.xls,2.5504435411854187,11.05192201180348,8.501478470618062,fos-,Gad2,D05,1
25,D05_A01_G001_0001.xls,1.4284122566559703,2.8568245133119405,18.569359336527615,fos-,VGlut1,D05,1
28,D05_A01_G001_0001.xls,15.478726670666093,0.0,10.835108669466265,fos+,VGlut1,D05,1
29,D05_A01_G001_0001.xls,2.0461613961005165,1.0230806980502583,13.300049074653357,fos-,VGlut1,D05,1
30,D05_A01_G001_0001.xls,0.0,3.6682080722966557,8.559152168692195,fos-,VGlut1,D05,1
32,D05_A01_G001_0001.xls,1.2541261047374415,3.762378314212324,22.574269885273946,fos-,VGlut1,D05,1
33,D05_A01_G001_0001.xls,0.7338878821421929,5.13721517499535,13.943869760701666,fos-,VGlut1,D05,1
34,D05_A01_G001_0001.xls,4.815888670198632,0.0,15.651638178145554,fos-,VGlut1,D05,1
35,D05_A01_G001_0001.xls,2.017023684824291,1.0085118424121455,19.161725005830768,fos-,VGlut1,D05,1
36,D05_A01_G001_0001.xls,1.0746032694463412,34.38730462228292,5.373016347231706,fos-,Gad2,D05,1
37,D05_A01_G001_0001.xls,2.0975485541394514,0.0,22.024259818464238,fos-,VGlut1,D05,1
38,D05_A01_G001_0001.xls,1.8478003067411666,0.0,18.478003067411667,fos-,VGlut1,D05,1
39,D05_A01_G001_0001.xls,1.7324027730709917,0.0,12.993020798032436,fos-,VGlut1,D05,1
41,D05_A01_G001_0001.xls,4.205929107298735,20.188459715033925,8.41185821459747,fos-,Gad2,D05,1
42,D05_A01_G001_0001.xls,4.6640659792255486,2.7984395875353294,7.462505566760878,fos-,VGlut1,D05,1
43,D05_A01_G001_0001.xls,2.3068688978555087,2.3068688978555087,9.227475591422035,fos-,VGlut1,D05,1
45,D05_A01_G001_0001.xls,2.8664875345232943,0.0,7.166218836308236,fos-,VGlut1,D05,1
