animal_id,fos_status,cell_type,IL34_puncta_adj
D05,fos+,Gad2,8.921079453386712
D05,fos+,VGlut1,14.688446796494606
D05,fos-,Gad2,7.677604239592645
D05,fos-,VGlut1,13.782196677762837
D06,fos+,Gad2,6.08753066272325
D06,fos+,VGlut1,12.37401090806773
D06,fos-,Gad2,6.313058431961245
D06,fos-,VGlut1,11.25298093856201
D07,fos+,Gad2,10.779631815591445
D07,fos+,VGlut1,15.230578139710458
D07,fos-,Gad2,10.341765483122478
D07,fos-,VGlut1,11.198236114795769
D08,fos+,Gad2,8.679578875566712
D08,fos+,VGlut1,12.08238672712511
D08,fos-,Gad2,9.17340790897491
D08,fos-,VGlut1,11.35556437379806
D09,fos+,Gad2,7.393028124766064
D09,fos+,VGlut1,11.67736808786343
D09,fos-,Gad2,7.334526768533752
D09,fos-,VGlut1,11.327404738983649
D10,fos+,Gad2,5.64122595821083
D10,fos+,VGlut1,12.94771921980805
D10,fos-,Gad2,4.433021074275292
D10,fos-,VGlut1,10.082992828952298
D11,fos+,Gad2,11.629802595429922
D11,fos+,VGlut1,13.42558278989461
D11,fos-,Gad2,5.890820084399939
D11,fos-,VGlut1,10.852506748436568
D12,fos+,Gad2,5.144184757820182
D12,fos+,VGlut1,14.415318199531812
D12,fos-,Gad2,7.479626667453401
D12,fos-,VGlut1,10.599096374024045
D13,fos+,Gad2,13.05722465667939
D13,fos+,VGlut1,18.53705417185092
D13,fos-,Gad2,11.840388773953926
D13,fos-,VGlut1,16.41095171731574
D14,fos+,Gad2,6.723253758674012
D14,fos+,VGlut1,12.154134473931766
D14,fos-,Gad2,5.981715511339778
D14,fos-,VGlut1,11.04565547990689
D15,fos+,Gad2,4.98869736583745
D15,fos+,VGlut1,11.867974977369439
D15,fos-,Gad2,7.47319044293292
D15,fos-,VGlut1,11.885486417289734
D16,fos+,Gad2,6.839294158609566
D16,fos+,VGlut1,12.53872986167432
D16,fos-,Gad2,6.500242607638928
D16,fos-,VGlut1,11.420982460209466
D17,fos+,Gad2,9.891242654084149
D17,fos+,VGlut1,15.440502742671326
D17,fos-,Gad2,7.4613014469821595
D17,fos-,VGlut1,12.82668796545769
D18,fos+,Gad2,10.110589432599287
D18,fos+,VGlut1,13.80596681859156
D18,fos-,Gad2,7.7804548445892285
D18,fos-,VGlut1,12.398636614957178
D19,fos+,Gad2,9.525676323241392
D19,fos+,VGlut1,14.828922355917513
D19,fos-,Gad2,6.882457434987189
D19,fos-,VGlut1,13.65099790406962
D20,fos+,Gad2,10.126247645077019
D20,fos+,VGlut1,16.445114099641476
D20,fos-,Gad2,3.570795291277613
D20,fos-,VGlut1,9.870966174756889
D21,fos+,Gad2,5.5956066893485925
D21,fos+,VGlut1,13.097412762994747
D21,fos-,Gad2,3.0520030646644107
D21,fos-,VGlut1,11.217548597818885
D22,fos+,Gad2,3.5173192903949553
D22,fos+,VGlut1,10.327019813524013
D22,fos-,Gad2,4.811518445069403
D22,fos-,VGlut1,9.925324975367408
d01,fos+,Gad2,8.436967346917756
d01,fos+,VGlut1,7.600653282357539
d01,fos-,Gad2,4.672357271116088
d01,fos-,VGlut1,7.8514192339840925
d02,fos+,Gad2,8.705425694820562
d02,fos+,VGlut1,7.940292922126451
d02,fos-,Gad2,6.070730132795579
d02,fos-,VGlut1,9.092739450289685
d03,fos+,Gad2,6.421099174913195
d03,fos+,VGlut1,10.706141642183354
d03,fos-,Gad2,4.832978155300456
d03,fos-,VGlut1,9.235495034533853
d04,fos+,Gad2,6.107104568819143
d04,fos+,VGlut1,8.420841444585573
d04,fos-,Gad2,4.665272554707945
d04,fos-,VGlut1,7.90948327157347
