,0
D01_a_D01_1,8480.0
D01_b_D01_2,6943.0
D01_c_D01_3,8145.0
D01_e_D01_5,4057.0
D02_a_D02_0_il34.xls,6688.0
D02_b_D02_1,5505.0
D02_c_D02_2,8994.0
D03_b_D03_2,8957.0
D03_c_D03_3,6524.0
D03_d_D03_4,6566.0
D04_b_D04_2,6732.0
D04_c_D04_3,8576.0
D04_d_D04_4,5039.0
D05_a_D05_1,4922.0
D05_b_D05_2,3335.0
D05_c_D05_3,5360.0
D06_a_D06_1,8337.0
D06_c_D06_3,5909.0
D06_d_D06_4,4113.0
D07_a_D07_1,4248.0
D07_b_D07_2,6307.0
D07_c_D07_3,5060.0
D08_a_D08_1,8265.0
D08_b_D08_2,4896.0
D08_d_D08_4,3753.0
D09_a_D09_1,7906.0
D09_b_D09_2,6011.0
D09_c_D09_3,6349.0
D10_a_D10_1,8199.0
D10_b_D10_2,7400.0
D10_c_D10_3,6819.0
D10_d_D10_4,5576.0
D10_e_D10_5,6405.0
D11_a_D11_1,6582.0
D11_b_D11_2,4002.0
D11_c_D11_3,9185.0
D12_a_D12_1,7401.0
D12_b_D12_2,6755.0
D12_d_D12_3_512,4613.0
D13_a_D13_1,9514.0
D13_b_D13_2,10387.0
D13_c_D13_3,5337.0
D13_d_D13_4,3858.0
D13_e_D13_5,4893.0
D14_a_D14_1,9203.0
D14_b_D14_2,5495.0
D14_c_D14_3,6984.0
D14_d_D14_4,5873.0
D15_a_D15_1,9441.0
D15_a_D15_1,9451.0
D15_b_D15_2,4615.0
D15_b_D15_2,4489.0
D15_c_D15_3,5043.0
D15_d_D15_4,5414.0
D16_a_D16_1,12453.0
D16_b_D16_2,7228.0
D16_c_D16_3,5383.0
D16_d_D16_4,4224.0
D17_a_D17_1,6739.0
D17_b_D17_2,5840.0
D17_c_D17_3,5228.0
D18_a_D18_1,9517.0
D18_b_D18_2,7240.0
D18_c_D18_3,6159.0
D18_d_D18_4,6785.0
D18_e_D18_5,5523.0
D19_a_D19_1,5929.0
D19_b_D19_2,5177.0
D19_c_D19_3,5715.0
D19_d_D19_4,4663.0
D19_e_D19_5,5132.0
D20_a_D20_1,8141.0
D20_b_D20_2,5918.0
D20_c_D20_3,5823.0
D20_d_D20_4,5706.0
D20_e_D20_5,4539.0
D21_a_D21_1,4328.0
D21_b_D21_2,5509.0
D21_c_D21_3,4595.0
D21_d_D21_4,3787.0
D22_a_D22_1,3641.0
D22_b_D22_2,5541.0
D22_c_D22_3,7395.0
D22_d_D22_4,8568.0
D22_e_D22_5,6496.0
D22_f_D22_6,3506.0
D23_a_D23_1,7228.0
D23_b_D23_2,5048.0
D23_c_D23_3,5166.0
D24_a_D24_1,5091.0
D24_b_D24_2,4763.0
D24_c_D24_3,5337.0
D24_d_D24_4,5213.0
